station,valid,lon,lat,metar,day,hour,min,wind_hdg,wind_vrb,wind_speed,wind_gust,wind_unit,wind_hdg_min,wind_hdg_max,vsby_dist,vsby_dir_dist_1,rvr_rwy_1,rvr_vis_1,rvr_rwy_2,rvr_vis_2,rvr_rwy_3,rvr_vis_3,rvr_rwy_4,rvr_vis_4,wx,skyc_1,skyl_1,skyx_1,skyc_2,skyl_2,skyx_2,skyc_3,skyl_3,skyc_4,skyl_4,vv,tmp,dwp,qnh,trend,unhandled,unknown
EHAM,2018-11-01 13:25,4.7902,52.3154,EHAM 011325Z 16011KT CAVOK 12/08 Q1007 NOSIG,1,13,25,160,FALSE,11,,KT,,,,,,,,,,,,,EHAM NOSIG,CAVOK,,,,,,,,,,,12,8,1007,,,
EHAM,2018-11-01 13:55,4.7902,52.3154,EHAM 011355Z 14009KT 110V170 9999 -RA FEW048 11/08 Q1006 NOSIG,1,13,55,140,FALSE,9,,KT,110,170,9999,,,,,,,,,,EHAM -RA NOSIG,FEW,4800,,,,,,,,,,11,8,1006,,,
EHAM,2018-11-01 14:25,4.7902,52.3154,EHAM 011425Z 15011KT 120V180 9999 -RA FEW047 11/08 Q1007 NOSIG,1,14,25,150,FALSE,11,,KT,120,180,9999,,,,,,,,,,EHAM -RA NOSIG,FEW,4700,,,,,,,,,,11,8,1007,,,
EHAM,2018-11-01 14:55,4.7902,52.3154,EHAM 011455Z 15011KT 120V180 9999 -RA FEW039 11/09 Q1007 NOSIG,1,14,55,150,FALSE,11,,KT,120,180,9999,,,,,,,,,,EHAM -RA NOSIG,FEW,3900,,,,,,,,,,11,9,1007,,,
EHAM,2018-11-01 15:25,4.7902,52.3154,EHAM 011525Z 14010KT 9000 -RA FEW040 10/09 Q1007 NOSIG,1,15,25,140,FALSE,10,,KT,,,9000,,,,,,,,,,EHAM -RA NOSIG,FEW,4000,,,,,,,,,,10,9,1007,,,
EHAM,2018-11-01 15:55,4.7902,52.3154,EHAM 011555Z 15011KT 120V180 9000 -RA FEW040 10/09 Q1007 NOSIG,1,15,55,150,FALSE,11,,KT,120,180,9000,,,,,,,,,,EHAM -RA NOSIG,FEW,4000,,,,,,,,,,10,9,1007,,,
EHAM,2018-11-01 16:25,4.7902,52.3154,EHAM 011625Z 14012KT 9000 -RA FEW040 10/09 Q1007 NOSIG,1,16,25,140,FALSE,12,,KT,,,9000,,,,,,,,,,EHAM -RA NOSIG,FEW,4000,,,,,,,,,,10,9,1007,,,
EHAM,2018-11-01 16:55,4.7902,52.3154,EHAM 011655Z 15012KT 110V170 9000 -RA FEW040 10/09 Q1007 NOSIG,1,16,55,150,FALSE,12,,KT,110,170,9000,,,,,,,,,,EHAM -RA NOSIG,FEW,4000,,,,,,,,,,10,9,1007,,,
EHAM,2018-11-01 17:25,4.7902,52.3154,EHAM 011725Z 15013KT 120V180 9999 FEW009 SCT030 BKN047 10/09 Q1007 TEMPO -RA,1,17,25,150,FALSE,13,,KT,120,180,9999,,,,,,,,,,EHAM,FEW,900,,SCT,3000,,BKN,4700,,,,10,9,1007,TEMPO -RA,,
EHAM,2018-11-01 17:55,4.7902,52.3154,EHAM 011755Z 15013KT 9999 FEW008 SCT034 BKN048 10/09 Q1007 TEMPO -RA,1,17,55,150,FALSE,13,,KT,,,9999,,,,,,,,,,EHAM,FEW,800,,SCT,3400,,BKN,4800,,,,10,9,1007,TEMPO -RA,,
EHAM,2018-11-01 18:25,4.7902,52.3154,EHAM 011825Z 15012KT 120V180 9999 FEW008 SCT034 BKN041 10/09 Q1007 TEMPO -RA,1,18,25,150,FALSE,12,,KT,120,180,9999,,,,,,,,,,EHAM,FEW,800,,SCT,3400,,BKN,4100,,,,10,9,1007,TEMPO -RA,,
EHAM,2018-11-01 18:55,4.7902,52.3154,EHAM 011855Z 16012KT 130V190 9999 -RA FEW008 SCT034 BKN041 10/10 Q1007 TEMPO -RA,1,18,55,160,FALSE,12,,KT,130,190,9999,,,,,,,,,,EHAM -RA,FEW,800,,SCT,3400,,BKN,4100,,,,10,10,1007,TEMPO -RA,,
EHAM,2018-11-01 19:25,4.7902,52.3154,EHAM 011925Z 17012KT 130V190 9999 -RA SCT006 SCT023 BKN040 10/10 Q1007 TEMPO 7000 BKN007,1,19,25,170,FALSE,12,,KT,130,190,9999,,,,,,,,,,EHAM -RA,SCT,600,,SCT,2300,,BKN,4000,,,,10,10,1007,TEMPO 7000 BKN007,,
EHAM,2018-11-01 19:55,4.7902,52.3154,EHAM 011955Z 17011KT 140V200 9999 FEW012 BKN043 10/10 Q1007 NOSIG,1,19,55,170,FALSE,11,,KT,140,200,9999,,,,,,,,,,EHAM NOSIG,FEW,1200,,BKN,4300,,,,,,,10,10,1007,,,
EHAM,2018-11-01 20:25,4.7902,52.3154,EHAM 012025Z 16011KT 130V190 9999 FEW008 SCT012 BKN026 10/10 Q1007 NOSIG,1,20,25,160,FALSE,11,,KT,130,190,9999,,,,,,,,,,EHAM NOSIG,FEW,800,,SCT,1200,,BKN,2600,,,,10,10,1007,,,
EHAM,2018-11-01 20:55,4.7902,52.3154,EHAM 012055Z 17011KT 140V200 9999 -RA FEW007 SCT012 BKN030 10/10 Q1008 NOSIG,1,20,55,170,FALSE,11,,KT,140,200,9999,,,,,,,,,,EHAM -RA NOSIG,FEW,700,,SCT,1200,,BKN,3000,,,,10,10,1008,,,
EHAM,2018-11-01 21:25,4.7902,52.3154,EHAM 012125Z 17011KT 9999 VCSH FEW007 SCT012 BKN046 10/10 Q1008 NOSIG,1,21,25,170,FALSE,11,,KT,,,9999,,,,,,,,,,EHAM VCSH NOSIG,FEW,700,,SCT,1200,,BKN,4600,,,,10,10,1008,,,
EHAM,2018-11-01 21:55,4.7902,52.3154,EHAM 012155Z 18009KT 9999 FEW007 SCT010 10/10 Q1008 NOSIG,1,21,55,180,FALSE,9,,KT,,,9999,,,,,,,,,,EHAM NOSIG,FEW,700,,SCT,1000,,,,,,,10,10,1008,,,
EHAM,2018-11-01 22:25,4.7902,52.3154,EHAM 012225Z 18010KT 9000 -RADZ FEW008 SCT010 10/10 Q1008 TEMPO BKN011,1,22,25,180,FALSE,10,,KT,,,9000,,,,,,,,,,EHAM -RADZ,FEW,800,,SCT,1000,,,,,,,10,10,1008,TEMPO BKN011,,
EHAM,2018-11-01 22:55,4.7902,52.3154,EHAM 012255Z 18010KT 8000 FEW008 SCT022 BKN027 10/10 Q1008 TEMPO BKN011,1,22,55,180,FALSE,10,,KT,,,8000,,,,,,,,,,EHAM,FEW,800,,SCT,2200,,BKN,2700,,,,10,10,1008,TEMPO BKN011,,
EHAM,2018-11-01 23:25,4.7902,52.3154,EHAM 012325Z 18010KT 8000 FEW008 SCT025 10/10 Q1008 BECMG FM0015 30010KT TEMPO 31015G27KT 5000 RA BKN008,1,23,25,180,FALSE,10,,KT,,,8000,,,,,,,,,,EHAM,FEW,800,,SCT,2500,,,,,,,10,10,1008,BECMG FM0015 30010KT TEMPO 31015G27KT 5000 RA BKN008,,
EHAM,2018-11-01 23:55,4.7902,52.3154,EHAM 012355Z 18010KT 8000 FEW009 SCT011 BKN016 11/10 Q1008 BECMG 30010KT TEMPO 31015G27KT 5000 RA BKN008,1,23,55,180,FALSE,10,,KT,,,8000,,,,,,,,,,EHAM,FEW,900,,SCT,1100,,BKN,1600,,,,11,10,1008,BECMG 30010KT TEMPO 31015G27KT 5000 RA BKN008,,
EHAM,2018-11-02 00:25,4.7902,52.3154,EHAM 020025Z 21012KT 4500 -RA FEW005 SCT007 BKN015 11/10 Q1008 BECMG 9999 NSW TEMPO 31015G27KT,2,0,25,210,FALSE,12,,KT,,,4500,,,,,,,,,,EHAM -RA,FEW,500,,SCT,700,,BKN,1500,,,,11,10,1008,BECMG 9999 NSW TEMPO 31015G27KT,,
EHAM,2018-11-02 00:55,4.7902,52.3154,EHAM 020055Z 29017KT 9000 -RADZ FEW010 SCT012 BKN016 10/09 Q1009 NOSIG,2,0,55,290,FALSE,17,,KT,,,9000,,,,,,,,,,EHAM -RADZ NOSIG,FEW,1000,,SCT,1200,,BKN,1600,,,,10,9,1009,,,
EHAM,2018-11-02 01:25,4.7902,52.3154,EHAM 020125Z 29016KT 4500 -SHRA FEW007 SCT018 BKN032 10/09 Q1010 BECMG 9999,2,1,25,290,FALSE,16,,KT,,,4500,,,,,,,,,,EHAM -SHRA,FEW,700,,SCT,1800,,BKN,3200,,,,10,9,1010,BECMG 9999,,
EHAM,2018-11-02 01:55,4.7902,52.3154,EHAM 020155Z 29012KT 9999 FEW010 SCT018 BKN048 10/09 Q1011 NOSIG,2,1,55,290,FALSE,12,,KT,,,9999,,,,,,,,,,EHAM NOSIG,FEW,1000,,SCT,1800,,BKN,4800,,,,10,9,1011,,,
EHAM,2018-11-02 02:25,4.7902,52.3154,EHAM 020225Z 28011KT 7000 -RADZ FEW012 SCT018 BKN025 10/09 Q1011 BECMG 9999,2,2,25,280,FALSE,11,,KT,,,7000,,,,,,,,,,EHAM -RADZ,FEW,1200,,SCT,1800,,BKN,2500,,,,10,9,1011,BECMG 9999,,
EHAM,2018-11-02 02:55,4.7902,52.3154,EHAM 020255Z 28012KT 9999 FEW018 SCT045 09/08 Q1012 NOSIG,2,2,55,280,FALSE,12,,KT,,,9999,,,,,,,,,,EHAM NOSIG,FEW,1800,,SCT,4500,,,,,,,9,8,1012,,,
EHAM,2018-11-02 03:25,4.7902,52.3154,EHAM 020325Z 28008KT 9999 FEW018 09/07 Q1012 NOSIG,2,3,25,280,FALSE,8,,KT,,,9999,,,,,,,,,,EHAM NOSIG,FEW,1800,,,,,,,,,,9,7,1012,,,
EHAM,2018-11-02 03:55,4.7902,52.3154,EHAM 020355Z 27006KT 9999 FEW027 09/06 Q1013 NOSIG,2,3,55,270,FALSE,6,,KT,,,9999,,,,,,,,,,EHAM NOSIG,FEW,2700,,,,,,,,,,9,6,1013,,,
EHAM,2018-11-02 04:25,4.7902,52.3154,EHAM 020425Z 27006KT 9999 VCSH FEW028 SCT048 09/06 Q1014 NOSIG,2,4,25,270,FALSE,6,,KT,,,9999,,,,,,,,,,EHAM VCSH NOSIG,FEW,2800,,SCT,4800,,,,,,,9,6,1014,,,
EHAM,2018-11-02 04:55,4.7902,52.3154,EHAM 020455Z 27008KT 9999 FEW032 09/05 Q1015 NOSIG,2,4,55,270,FALSE,8,,KT,,,9999,,,,,,,,,,EHAM NOSIG,FEW,3200,,,,,,,,,,9,5,1015,,,
EHAM,2018-11-02 05:25,4.7902,52.3154,EHAM 020525Z 29011KT 9999 FEW032 10/05 Q1015 NOSIG,2,5,25,290,FALSE,11,,KT,,,9999,,,,,,,,,,EHAM NOSIG,FEW,3200,,,,,,,,,,10,5,1015,,,
EHAM,2018-11-02 05:55,4.7902,52.3154,EHAM 020555Z 28008KT 9999 FEW030 09/05 Q1016 NOSIG,2,5,55,280,FALSE,8,,KT,,,9999,,,,,,,,,,EHAM NOSIG,FEW,3000,,,,,,,,,,9,5,1016,,,
EHAM,2018-11-02 06:25,4.7902,52.3154,EHAM 020625Z 27008KT 9999 FEW033 08/05 Q1016 NOSIG,2,6,25,270,FALSE,8,,KT,,,9999,,,,,,,,,,EHAM NOSIG,FEW,3300,,,,,,,,,,8,5,1016,,,
EHAM,2018-11-02 06:55,4.7902,52.3154,EHAM 020655Z 27009KT 9999 FEW033 08/04 Q1017 NOSIG,2,6,55,270,FALSE,9,,KT,,,9999,,,,,,,,,,EHAM NOSIG,FEW,3300,,,,,,,,,,8,4,1017,,,
EHAM,2018-11-02 07:25,4.7902,52.3154,EHAM 020725Z 27009KT 9999 FEW033 08/04 Q1018 NOSIG,2,7,25,270,FALSE,9,,KT,,,9999,,,,,,,,,,EHAM NOSIG,FEW,3300,,,,,,,,,,8,4,1018,,,
EHAM,2018-11-02 07:55,4.7902,52.3154,EHAM 020755Z 26007KT 9999 FEW033 10/06 Q1018 NOSIG,2,7,55,260,FALSE,7,,KT,,,9999,,,,,,,,,,EHAM NOSIG,FEW,3300,,,,,,,,,,10,6,1018,,,
EHAM,2018-11-02 08:25,4.7902,52.3154,EHAM 020825Z 26009KT 9999 FEW032 11/06 Q1019 NOSIG,2,8,25,260,FALSE,9,,KT,,,9999,,,,,,,,,,EHAM NOSIG,FEW,3200,,,,,,,,,,11,6,1019,,,
EHAM,2018-11-02 08:55,4.7902,52.3154,EHAM 020855Z 26012KT 9999 FEW032 11/05 Q1019 NOSIG,2,8,55,260,FALSE,12,,KT,,,9999,,,,,,,,,,EHAM NOSIG,FEW,3200,,,,,,,,,,11,5,1019,,,
EHAM,2018-11-02 09:25,4.7902,52.3154,EHAM 020925Z 27013KT 9999 FEW032 11/05 Q1020 NOSIG,2,9,25,270,FALSE,13,,KT,,,9999,,,,,,,,,,EHAM NOSIG,FEW,3200,,,,,,,,,,11,5,1020,,,
EHAM,2018-11-02 09:55,4.7902,52.3154,EHAM 020955Z 27015KT 9999 FEW032 11/04 Q1020 NOSIG,2,9,55,270,FALSE,15,,KT,,,9999,,,,,,,,,,EHAM NOSIG,FEW,3200,,,,,,,,,,11,4,1020,,,
EHAM,2018-11-02 10:25,4.7902,52.3154,EHAM 021025Z 27014KT 9999 FEW032 11/04 Q1021 NOSIG,2,10,25,270,FALSE,14,,KT,,,9999,,,,,,,,,,EHAM NOSIG,FEW,3200,,,,,,,,,,11,4,1021,,,
EHAM,2018-11-02 10:55,4.7902,52.3154,EHAM 021055Z 27013KT 230V300 9999 FEW035 11/04 Q1021 NOSIG,2,10,55,270,FALSE,13,,KT,230,300,9999,,,,,,,,,,EHAM NOSIG,FEW,3500,,,,,,,,,,11,4,1021,,,
EHAM,2018-11-02 11:25,4.7902,52.3154,EHAM 021125Z 26012KT 230V300 9999 FEW035 11/03 Q1021 NOSIG,2,11,25,260,FALSE,12,,KT,230,300,9999,,,,,,,,,,EHAM NOSIG,FEW,3500,,,,,,,,,,11,3,1021,,,
EHAM,2018-11-02 11:55,4.7902,52.3154,EHAM 021155Z 26012KT 230V290 9999 FEW033 10/04 Q1021 NOSIG,2,11,55,260,FALSE,12,,KT,230,290,9999,,,,,,,,,,EHAM NOSIG,FEW,3300,,,,,,,,,,10,4,1021,,,
EHAM,2018-11-02 12:25,4.7902,52.3154,EHAM 021225Z 26012KT 9999 FEW033 10/03 Q1022 NOSIG,2,12,25,260,FALSE,12,,KT,,,9999,,,,,,,,,,EHAM NOSIG,FEW,3300,,,,,,,,,,10,3,1022,,,
EHAM,2018-11-02 12:55,4.7902,52.3154,EHAM 021255Z 24011KT 210V270 9999 FEW033 11/03 Q1022 NOSIG,2,12,55,240,FALSE,11,,KT,210,270,9999,,,,,,,,,,EHAM NOSIG,FEW,3300,,,,,,,,,,11,3,1022,,,
EHAM,2018-11-02 13:25,4.7902,52.3154,EHAM 021325Z 27011KT 9999 FEW033 11/04 Q1023 NOSIG,2,13,25,270,FALSE,11,,KT,,,9999,,,,,,,,,,EHAM NOSIG,FEW,3300,,,,,,,,,,11,4,1023,,,
EHAM,2018-11-02 13:55,4.7902,52.3154,EHAM 021355Z 26011KT 230V290 9999 VCSH FEW025CB 11/04 Q1023 TEMPO 7000 -SHRA,2,13,55,260,FALSE,11,,KT,230,290,9999,,,,,,,,,,EHAM VCSH,FEW,2500,CB,,,,,,,,,11,4,1023,TEMPO 7000 -SHRA,,
EHAM,2018-11-02 14:25,4.7902,52.3154,EHAM 021425Z 26014KT 9999 VCSH FEW009 FEW025CB 11/04 Q1023 TEMPO 7000 -SHRA,2,14,25,260,FALSE,14,,KT,,,9999,,,,,,,,,,EHAM VCSH,FEW,900,CB,,,,,,,,,11,4,1023,TEMPO 7000 -SHRA,,
EHAM,2018-11-02 14:55,4.7902,52.3154,EHAM 021455Z 27014KT 240V300 9999 -SHRA FEW009 FEW027CB 09/04 Q1024 TEMPO 7000 -SHRA,2,14,55,270,FALSE,14,,KT,240,300,9999,,,,,,,,,,EHAM -SHRA,FEW,900,CB,,,,,,,,,9,4,1024,TEMPO 7000 -SHRA,,
EHAM,2018-11-02 15:25,4.7902,52.3154,EHAM 021525Z 25003KT 220V290 9999 -SHRA FEW009 SCT027CB 07/04 Q1024 RESHRAGS TEMPO 30008KT 7000 -SHRA,2,15,25,250,FALSE,3,,KT,220,290,9999,,,,,,,,,,EHAM -SHRA RESHRAGS,FEW,900,CB,,,,,,,,,7,4,1024,TEMPO 30008KT 7000 -SHRA,,
EHAM,2018-11-02 15:55,4.7902,52.3154,EHAM 021555Z 32009KT 290V360 9999 -SHRA FEW009 SCT024CB 08/03 Q1025 BECMG 26008KT 9999 NSW,2,15,55,320,FALSE,9,,KT,290,360,9999,,,,,,,,,,EHAM -SHRA,FEW,900,CB,,,,,,,,,8,3,1025,BECMG 26008KT 9999 NSW,,
EHAM,2018-11-02 16:25,4.7902,52.3154,EHAM 021625Z 31003KT 240V050 9999 -SHRA FEW011 SCT024CB 07/04 Q1025 RESHRA BECMG 26008KT NSW,2,16,25,310,FALSE,3,,KT,240,50,9999,,,,,,,,,,EHAM -SHRA RESHRA,FEW,1100,CB,,,,,,,,,7,4,1025,BECMG 26008KT NSW,,
EHAM,2018-11-02 16:55,4.7902,52.3154,EHAM 021655Z 32004KT 290V010 9999 SHRA FEW011 SCT024CB 08/04 Q1025 TEMPO 30008G16KT 7000,2,16,55,320,FALSE,4,,KT,290,10,9999,,,,,,,,,,EHAM SHRA,FEW,1100,CB,,,,,,,,,8,4,1025,TEMPO 30008G16KT 7000,,
EHAM,2018-11-02 17:25,4.7902,52.3154,EHAM 021725Z 29005KT 250V310 9999 VCSH FEW011 FEW024CB SCT034 07/04 Q1026 RESHRA TEMPO 30008G16KT 7000 -SHRA,2,17,25,290,FALSE,5,,KT,250,310,9999,,,,,,,,,,EHAM VCSH RESHRA,FEW,1100,CB,,,,SCT,3400,,,,7,4,1026,TEMPO 30008G16KT 7000 -SHRA,,
EHAM,2018-11-02 17:55,4.7902,52.3154,EHAM 021755Z 23012KT 9999 -SHRA FEW011 SCT022CB 07/04 Q1026 RESHRA NOSIG,2,17,55,230,FALSE,12,,KT,,,9999,,,,,,,,,,EHAM -SHRA RESHRA NOSIG,FEW,1100,CB,,,,,,,,,7,4,1026,,,
EHAM,2018-11-02 18:25,4.7902,52.3154,EHAM 021825Z 22010KT 9999 VCSH FEW011 FEW020CB SCT034 07/05 Q1027 NOSIG,2,18,25,220,FALSE,10,,KT,,,9999,,,,,,,,,,EHAM VCSH NOSIG,FEW,1100,CB,,,,SCT,3400,,,,7,5,1027,,,
EHAM,2018-11-02 18:55,4.7902,52.3154,EHAM 021855Z 21009KT 9999 FEW011 FEW020CB SCT034 07/05 Q1027 NOSIG,2,18,55,210,FALSE,9,,KT,,,9999,,,,,,,,,,EHAM NOSIG,FEW,1100,CB,,,,SCT,3400,,,,7,5,1027,,,
EHAM,2018-11-02 19:25,4.7902,52.3154,EHAM 021925Z 22008KT 9999 FEW020CB SCT030 06/05 Q1027 NOSIG,2,19,25,220,FALSE,8,,KT,,,9999,,,,,,,,,,EHAM NOSIG,FEW,2000,CB,SCT,3000,,,,,,,6,5,1027,,,
EHAM,2018-11-02 19:55,4.7902,52.3154,EHAM 021955Z 22007KT 9999 FEW020CB SCT040 06/04 Q1027 NOSIG,2,19,55,220,FALSE,7,,KT,,,9999,,,,,,,,,,EHAM NOSIG,FEW,2000,CB,SCT,4000,,,,,,,6,4,1027,,,
EHAM,2018-11-02 20:25,4.7902,52.3154,EHAM 022025Z 22009KT 9999 FEW020CB SCT033 07/05 Q1027 NOSIG,2,20,25,220,FALSE,9,,KT,,,9999,,,,,,,,,,EHAM NOSIG,FEW,2000,CB,SCT,3300,,,,,,,7,5,1027,,,
EHAM,2018-11-02 20:55,4.7902,52.3154,EHAM 022055Z 24006KT 9999 VCSH FEW010 FEW020CB BKN031 08/05 Q1028 NOSIG,2,20,55,240,FALSE,6,,KT,,,9999,,,,,,,,,,EHAM VCSH NOSIG,FEW,1000,CB,,,,BKN,3100,,,,8,5,1028,,,
EHAM,2018-11-02 21:25,4.7902,52.3154,EHAM 022125Z 23006KT 9999 -SHRA FEW010 FEW020CB BKN029 07/06 Q1028 NOSIG,2,21,25,230,FALSE,6,,KT,,,9999,,,,,,,,,,EHAM -SHRA NOSIG,FEW,1000,CB,,,,BKN,2900,,,,7,6,1028,,,
